equal	bektok	glauxwordid	chapsect	sentid	kastok	kaswordid	bekkpage	bekkline	textstatus
y	περὶ	104285582	1.1	244698	περὶ	1	1447a	8	
y	ποιητικῆς	104285583	1.1	244698	ποιητικῆς	2	1447a	8	
y	αὐτῆς	104285584	1.1	244698	αὐτῆς	3	1447a	8	
y	τε	104285585	1.1	244698	τε	4	1447a	8	
y	καὶ	104285586	1.1	244698	καὶ	5	1447a	8	
y	τῶν	104285587	1.1	244698	τῶν	6	1447a	8	
y	εἰδῶν	104285588	1.1	244698	εἰδῶν	7	1447a	8	
y	αὐτῆς	104285589	1.1	244698	αὐτῆς	8	1447a	8	
y	,	104285590	1.1	244698	,	9	1447a	8	
y	ἥν	104285591	1.1	244698	ἥν	10	1447a	8	
y	τινα	104285592	1.1	244698	τινα	11	1447a	8	
y	δύναμιν	104285593	1.1	244698	δύναμιν	12	1447a	8	
y	ἕκαστον	104285594	1.1	244698	ἕκαστον	13	1447a	8	
y	ἔχει	104285595	1.1	244698	ἔχει	14	1447a	8	
y	,	104285596	1.1	244698	,	15	1447a	8	
y	καὶ	104285597	1.1	244698	καὶ	16	1447a	8	
y	πῶς	104285598	1.1	244698	πῶς	17	1447a	8	
y	δεῖ	104285599	1.1	244698	δεῖ	18	1447a	8	
y	συνίστασθαι	104285600	1.1	244698	συνίστασθαι	19	1447a	8	
y	τοὺς	104285601	1.1	244698	τοὺς	20	1447a	8	
y	μύθους	104285602	1.1	244698	μύθους	21	1447a	8	
n	,	104285603	1.1	244698	KASNA				
y	εἰ	104285604	1.1	244698	εἰ	22	1447a	10	
y	μέλλει	104285605	1.1	244698	μέλλει	23	1447a	10	
y	καλῶς	104285606	1.1	244698	καλῶς	24	1447a	10	
y	ἕξειν	104285607	1.1	244698	ἕξειν	25	1447a	10	
y	ἡ	104285608	1.1	244698	ἡ	26	1447a	10	
y	ποίησις	104285609	1.1	244698	ποίησις	27	1447a	10	
y	,	104285610	1.1	244698	,	28	1447a	10	
y	ἔτι	104285611	1.1	244698	ἔτι	29	1447a	10	
y	δὲ	104285612	1.1	244698	δὲ	30	1447a	10	
y	ἐκ	104285613	1.1	244698	ἐκ	31	1447a	10	
y	πόσων	104285614	1.1	244698	πόσων	32	1447a	10	
y	καὶ	104285615	1.1	244698	καὶ	33	1447a	10	
y	ποίων	104285616	1.1	244698	ποίων	34	1447a	10	
y	ἐστὶ	104285617	1.1	244698	ἐστὶ	35	1447a	10	
y	μορίων	104285618	1.1	244698	μορίων	36	1447a	10	
y	,	104285619	1.1	244698	,	37	1447a	10	
y	ὁμοίως	104285620	1.1	244698	ὁμοίως	38	1447a	10	
y	δὲ	104285621	1.1	244698	δὲ	39	1447a	10	
y	καὶ	104285622	1.1	244698	καὶ	40	1447a	10	
y	περὶ	104285623	1.1	244698	περὶ	41	1447a	10	
y	τῶν	104285624	1.1	244698	τῶν	42	1447a	10	
y	ἄλλων	104285625	1.1	244698	ἄλλων	43	1447a	10	
y	ὅσα	104285626	1.1	244698	ὅσα	44	1447a	10	
y	τῆς	104285627	1.1	244698	τῆς	45	1447a	10	
y	αὐτῆς	104285628	1.1	244698	αὐτῆς	46	1447a	10	
n	ἐστὶ	104285629	1.1	244698	ἐστι	47	1447a	10	
y	μεθόδου	104285630	1.1	244698	μεθόδου	48	1447a	10	
y	,	104285631	1.1	244698	,	49	1447a	10	
y	λέγωμεν	104285632	1.1	244698	λέγωμεν	50	1447a	10	
n	,	104285633	1.1	244698	KASNA				
y	ἀρξάμενοι	104285634	1.1	244698	ἀρξάμενοι	51	1447a	10	
y	κατὰ	104285635	1.1	244698	κατὰ	52	1447a	10	
y	φύσιν	104285636	1.1	244698	φύσιν	53	1447a	10	
y	πρῶτον	104285637	1.1	244698	πρῶτον	54	1447a	10	
y	ἀπὸ	104285638	1.1	244698	ἀπὸ	55	1447a	10	
y	τῶν	104285639	1.1	244698	τῶν	56	1447a	10	
y	πρώτων	104285640	1.1	244698	πρώτων	57	1447a	10	
y	.	104285641	1.1	244698	.	58	1447a	10	
y	ἐποποιία	104285642	1.2	244699	ἐποποιία	59	1447a	10	
y	δὴ	104285643	1.2	244699	δὴ	60	1447a	10	
y	καὶ	104285644	1.2	244699	καὶ	61	1447a	10	
y	ἡ	104285645	1.2	244699	ἡ	62	1447a	10	
y	τῆς	104285646	1.2	244699	τῆς	63	1447a	10	
y	τραγῳδίας	104285647	1.2	244699	τραγῳδίας	64	1447a	10	
y	ποίησις	104285648	1.2	244699	ποίησις	65	1447a	10	
n	,	104285649	1.2	244699	KASNA				
y	ἔτι	104285650	1.2	244699	ἔτι	66	1447a	10	
y	δὲ	104285651	1.2	244699	δὲ	67	1447a	10	
y	κωμῳδία	104285652	1.2	244699	κωμῳδία	68	1447a	10	
y	καὶ	104285653	1.2	244699	καὶ	69	1447a	10	
y	ἡ	104285654	1.2	244699	ἡ	70	1447a	10	
y	διθυραμβοποιητικὴ	104285655	1.2	244699	διθυραμβοποιητικὴ	71	1447a	10	
y	καὶ	104285656	1.2	244699	καὶ	72	1447a	10	
y	τῆς	104285657	1.2	244699	τῆς	73	1447a	10	
y	αὐλητικῆς	104285658	1.2	244699	αὐλητικῆς	74	1447a	15	
y	ἡ	104285659	1.2	244699	ἡ	75	1447a	15	
y	πλείστη	104285660	1.2	244699	πλείστη	76	1447a	15	
y	καὶ	104285661	1.2	244699	καὶ	77	1447a	15	
y	κιθαριστικῆς	104285662	1.2	244699	κιθαριστικῆς	78	1447a	15	
n	,	104285663	1.2	244699	KASNA				
y	πᾶσαι	104285664	1.2	244699	πᾶσαι	79	1447a	15	
y	τυγχάνουσιν	104285665	1.2	244699	τυγχάνουσιν	80	1447a	15	
y	οὖσαι	104285666	1.2	244699	οὖσαι	81	1447a	15	
y	μιμήσεις	104285667	1.2	244699	μιμήσεις	82	1447a	15	
y	τὸ	104285668	1.2	244699	τὸ	83	1447a	15	
y	σύνολον	104285669	1.2	244699	σύνολον	84	1447a	15	
n	.	104285670	1.2	244699	·	85	1447a	15	
y	διαφέρουσι	104285671	1.3	244700	διαφέρουσι	86	1447a	15	
y	δὲ	104285672	1.3	244700	δὲ	87	1447a	15	
y	ἀλλήλων	104285673	1.3	244700	ἀλλήλων	88	1447a	15	
y	τρισίν	104285674	1.3	244700	τρισίν	89	1447a	15	
n	·	104285675	1.3	244700	,	90	1447a	15	
y	ἢ	104285676	1.3	244701	ἢ	91	1447a	15	
y	γὰρ	104285677	1.3	244701	γὰρ	92	1447a	15	
y	τῷ	104285678	1.3	244701	τῷ	93	1447a	15	
n	γένει	104285679	1.3	244701	ἐν	94	1447a	15	
y	ἑτέροις	104285680	1.3	244701	ἑτέροις	95	1447a	15	
y	μιμεῖσθαι	104285681	1.3	244701	μιμεῖσθαι	96	1447a	15	
n	,	104285682	1.3	244701	KASNA				
y	ἢ	104285683	1.3	244701	ἢ	97	1447a	15	
y	τῷ	104285684	1.3	244701	τῷ	98	1447a	15	
