Unit	Greek (full — Bekker text)	Arabic (full — Tkatsch)	Gk:Ar	Align.	Rendering	Concern / note
— CHAPTER 1  (verified; 16 units) —						
1.1	Περὶ ποιητικῆς αὐτῆς τε καὶ τῶν εἰδῶν αὐτῆς, ἥν τινα δύναμιν ἕκαστον ἔχει, καὶ πῶς δεῖ συνίστασθαι τοὺς μύθους, εἰ μέλλει καλῶς ἕξειν ἡ ποίησις, ἔτι δὲ ἐκ πόσων καὶ ποίων ἐστὶ μορίων, ὁμοίως δὲ καὶ περὶ τῶν ἄλλων ὅσα τῆς αὐτῆς ἐστὶ μεθόδου, λέγωμεν, ἀρξάμενοι κατὰ φύσιν πρῶτον ἀπὸ τῶν πρώτων.	‏انا متكلمون الان فى صناعة الشعرا وانواعها ومخبرون اى قوة لكل واحد واحد منها وعلى اى سبيل ينبغى ان تتقوم الاسمار والاشعار ان كانت الفواسس مزمعة بان يجرى امرها مجرى الجودة وايضا من كم جزو هى وايما هى اجزاوها وكذلك نتكلم من اجل كم التى هى موجودة التى هى لها بعينها ونتكلم ونحن متكلمون فى هذا كله من حيث نبتدى اولا من الاشيا الاوايل	1:1	High	Clean	Essentially 1:1. Only friction: the untranslated Greek loanword fawāsis (poiesis) and the hendiadys for μύθους. Alignment secure.
1.2	Ἐποποιία δὴ καὶ ἡ τῆς τραγῳδίας ποίησις, ἔτι δὲ κωμῳδία καὶ ἡ διθυραμβοποιητικὴ καὶ τῆς αὐλητικῆς ἡ πλείστη καὶ κιθαριστικῆς, πᾶσαι τυγχάνουσιν οὖσαι μιμήσεις τὸ σύνολον.	‏فكل شعر وكل نشيد شعرى ننحا به اما مديحا واما هجاا اما دثيرمبو الشعرى ونحو اكثر اوليطيقس وكل ما كان داخلا فى التشبه ومحاكاة صناعة الملاهى من الزمر والعود وغيره	1:1	High	Severe	MAJOR DIVERGENCE. The Arabic recasts the Greek dramatic genres as Arabic poetic genres: τραγῳδία/κωμῳδία → madīḥ (panegyric)/hijāʾ (invective); ἐποποιία (epic) has no counterpart. Same structural slot, substituted content — the canonical breakdown point of the Arabic Poetics. Align as a unit, flag the substitution.
1.3	Διαφέρουσι δὲ ἀλλήλων τρισίν· ἢ γὰρ τῷ γένει ἑτέροις μιμεῖσθαι, ἢ τῷ ἕτερα, ἢ τῷ ἑτέρως καὶ μὴ τὸν αὐτὸν τρόπον.	‏واصنافها ثلثة وذلك اما ان تكون تشبه باشيا اخر والحكاية بها واما ان تكون على عكس هذا وهو ان تكون اشيا اخر تشبه وتحاكى واما ان تجرى على احوال مختلفة لا على جهة واحدة بعينها	1:1	High	Moderate	The count (three) aligns; the three differentiae themselves are recast and partly inverted. Recognizably the same sentence, but the philosophical content drifts.
1.4	Ὥσπερ γὰρ καὶ χρώμασι καὶ σχήμασι πολλὰ μιμοῦνταί τινες ἀπεικάζοντες, οἱ μὲν διὰ τέχνης οἱ δὲ διὰ συνηθείας, ἕτεροι δὲ διὰ τῆς φωνῆς, οὕτω κἀν ταῖς εἰρημέναις τέχναις, ἅπασαι μὲν ποιοῦνται τὴν μίμησιν ἐν ῥυθμῷ καὶ λόγῳ καὶ ἁρμονίᾳ, τούτοις δ᾿ ἢ χωρὶς ἢ μεμιγμένοις,	‏وكما ان الناس قد يشبهون بالوان واشكال كثيرا ويحاكون ذلك من حيث ان بعضهم يشبه بالصناعات ويحاكيها وبعضهم بالعادات وقوم اخر منهم بالاصوات كذلك الصناعات التى وصفنا وجميعها ياتى بالتشبه والحكاية باللحن والقول والنظم وذلك يكون اما على الانفراد واما على جهة الاختلاط	1:1	High	Moderate	Largely faithful. Key term-friction: the triad ῥυθμός / λόγος / ἁρμονία → laḥn / qawl / naẓm. naẓm (versification/meter) ≠ ἁρμονία (harmony); laḥn (melody) covers ἁρμονία. The means-triad does not map term-for-term.
1.5	οἷον ἁρμονίᾳ μὲν καὶ ῥυθμῷ χρώμεναι μόνον ἥ τε αὐλητικὴ καὶ ἡ κιθαριστική, κἂν εἴ τινες ἕτεραι τυγχάνωσιν οὖσαι τοιαῦται τὴν δύναμιν, οἷον ἡ τῶν συρίγγων.	‏مثال ذلك اوليطيقى وصناعة العيدان فانهما تستعملان اللحن وتاليف فقط وان كان توجد صناعات اخر هى فى قوتها مثل هاتين مثل ذلك صناعة الصفر تستعمل اللحن الواحد بعينه من غير تاليف	1:1	High	Moderate	αὐλητική is once more carried over as a transliterated name rather than 'aulos-playing'. Arabic segmentation also pulls the συρίγγων example forward into this unit; sentence boundaries Greek↔Arabic do not coincide exactly.
1.6	Αὐτῷ δὲ τῷ ῥυθμῷ μιμοῦνται χωρὶς ἁρμονίας οἱ τῶν ὀρχηστῶν· καὶ γὰρ οὗτοι διὰ τῶν σχηματιζομένων ῥυθμῶν μιμοῦνται καὶ ἤθη καὶ πάθη καὶ πράξεις.	‏وصناعة اداة الرقص ايضا وذلك ان هاتين باللحون المتشكلة تشبه بالعادات وبالانفعالات ايضا وبالاعمال ايضا وتحاكيها	1:1	High	Clean	Strong correspondence. The triad ἤθη / πάθη / πράξεις → ʿādāt / infiʿālāt / aʿmāl maps term-for-term — one of the cleanest technical-vocabulary alignments in the chapter.
1.7	Ἡ δὲ ἐποποιία μόνον τοῖς λόγοις ψιλοῖς ἢ τοῖς μέτροις, καὶ τούτοις εἴτε μιγνῦσα μετ᾿ ἀλλήλων, εἴθ᾿ ἑνί τινι γένει χρωμένη τῶν μέτρων τυγχάνουσα μέχρι τοῦ νῦν.	‏اما بعضها فبالكلام المنثور السارح اكثر او بالاوزان وتحاكى هى هذه اما وهى مخلطة واما بان تستعمل جنسا واحدا وبالاوزان التى هى بلا تسمية الا الازمه	1:1	High	Moderate	ἐποποιία (epic) — the grammatical subject in Greek — is generalized to baʿḍuhā ('some of them'); the genre vanishes. The Arabic 'bilā tasmiya' attests ἀνώνυμος, which this Bekker text omits — a place where the Arabic is a witness to a fuller Greek reading. 'al-azimah' is obscure.
1.8	Οὐδὲν γὰρ ἂν ἔχοιμεν ὀνομάσαι κοινὸν τοὺς Σώφρονος καὶ Ξενάρχου μίμους καὶ τοὺς Σωκρατικοὺς λόγους,	‏وذلك انه ليس لنا ان نسمى بماذا يشارك حكايات وتشبيهات شاعر وقرن وكسانرخس والاقاويل المنسوبة الى سقراط	1:1	High	Severe	Proper-name corruption. Σώφρων (Sophron, the mime-writer) collapses into šāʿir wa-qarn ('a poet, and a horn') — the translator no longer reads it as a name. Xenarchus and Socrates survive. Alignment holds, but one referent is effectively lost.
1.9	οὐδὲ εἴ τις διὰ τριμέτρων ἢ ἐλεγείων ἢ τῶν ἄλλων τινῶν τῶν τοιούτων ποιοῖτο τὴν μίμησιν·	‏ولا ايضا ان جعل الانسان تشبيهه وحكايته بالاوزان الثلاثيه او هى هذه التى يقال لها الغاز او شى من هذه الاخر التى يجعل تشبيهه وحكايته لها على هذا النحو	1:1	High	Severe	ἐλεγείων (elegiac couplets) is rendered al-alghāz ('riddles') — a genuine mistranslation, not just transliteration. Trimeters survive as a calque. Sense aligns structurally, lexical fidelity breaks.
